600439,"CA3A","KDDI"
600440,"HI3A","KDDI"
600441,"HI3B","KDDI"
600442,"KC3B","KDDI"
600443,"KC3E","KDDI"
600444,"MA32","KDDI"
600445,"MA33","KDDI"
600446,"SA3A","KDDI"
600447,"SA3B","KDDI"
600448,"SH33","KDDI"
600449,"SH34","KDDI"
600450,"SH3I","KDDI"
600451,"SN3A","KDDI"
600452,"SN3B","KDDI"
600453,"SN3C","KDDI"
600454,"SN3P","KDDI"
600455,"ST32","KDDI"
600456,"ST33","KDDI"
600457,"TS29","KDDI"
600458,"TS3D","KDDI"
600459,"TS3E","KDDI"
600460,"TS3G","KDDI"
600461,"TS3H","KDDI"
600462,"TS3O","KDDI"
600463,"TS3P","KDDI"
600464,"TS3S","KDDI"
600465,"W21K","KDDI"
600466,"SD-528","KPT"
600467,"A718","Kejian"
600468,"K358","Kejian"
600469,"K368","Kejian"
600470,"K506","Kejian"
600471,"K618","Kejian"
600472,"K686","Kejian"
600473,"Kejian/S40/Generic","Kejian"
600474,"Kejian/S50/Generic","Kejian"
600475,"3245","Kyocera"
600476,"7135","Kyocera"
600477,"AH-K3001V","Kyocera"
600478,"AH-K3002V","Kyocera"
600479,"Dorado","Kyocera"
600480,"Garnetto","Kyocera"
600481,"Grouper","Kyocera"
600482,"K127 (Marbl)","Kyocera"
600483,"K132","Kyocera"
600484,"K24","Kyocera"
600485,"K320","Kyocera"
600486,"K322","Kyocera"
600487,"K323","Kyocera"
600488,"K325 (Cyclops)","Kyocera"
600489,"K342","Kyocera"
600490,"K612","Kyocera"
600491,"K612B","Kyocera"
600492,"Koi KX2","Kyocera"
600493,"Koi KX2 (Verizon Wireless)","Kyocera"
600494,"KX1","Kyocera"
600495,"KX12","Kyocera"
600496,"KX16","Kyocera"
600497,"KX18 Jet","Kyocera"
600498,"KX5","Kyocera"
600499,"KX9","Kyocera"
600500,"Kyocera/S40/Generic","Kyocera"
600501,"Kyocera/S50/Generic","Kyocera"
600502,"Kyocera/S60/Generic","Kyocera"
600503,"M1000","Kyocera"
600504,"Onyx","Kyocera"
600505,"Phantom (KX414)","Kyocera"
600506,"QCP-5135","Kyocera"
600507,"QCP2035","Kyocera"
600508,"Rave","Kyocera"
600509,"S2300","Kyocera"
600510,"SE47","Kyocera"
600511,"WX310K","Kyocera"
600512,"WX320K","Kyocera"
600513,"WX333K","Kyocera"
600514,"WX334K","Kyocera"
600515,"210","LG"
